[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0274/500 | Score: 00 | Steps: 005 | Epsilon: 0.010
Game: 0275/500 | Score: 12 | Steps: 192 | Epsilon: 0.010
Game: 0276/500 | Score: 10 | Steps: 169 | Epsilon: 0.010
Game: 0277/500 | Score: 04 | Steps: 083 | Epsilon: 0.010
Game: 0278/500 | Score: 23 | Steps: 180 | Epsilon: 0.010
Game: 0279/500 | Score: 06 | Steps: 099 | Epsilon: 0.010
Game: 0280/500 | Score: 24 | Steps: 308 | Epsilon: 0.010
Game: 0281/500 | Score: 13 | Steps: 139 | Epsilon: 0.010
Game: 0282/500 | Score: 05 | Steps: 098 | Epsilon: 0.010
Game: 0283/500 | Score: 00 | Steps: 012 | Epsilon: 0.010
Game: 0284/500 | Score: 11 | Steps: 231 | Epsilon: 0.010
Game: 0285/500 | Score: 00 | Steps: 005 | Epsilon: 0.010
Game: 0286/500 | Score: 09 | Steps: 171 | Epsilon: 0.010
Game: 0287/500 | Score: 06 | Steps: 209 | Epsilon: 0.010
Game: 0288/500 | Score: 03 | Steps: 067 | Epsilon: 0.010
Game: 0289/500 | Score: 13 | Steps: 163 | Epsilon: 0.010
Game: 0290/500 | Score: 03 | Steps: 089 | Epsilon: 0.010
Game: 0291/500 | Score: 08 | Steps: 154 | Epsilon: 0.010
Game: 0292/500 | Score: 26 | Steps: 396 | Epsilon: 0.010
Game: 0293/500 | Score: 07 | Steps: 098 | Epsilon: 0.010
Game: 0294/500 | Score: 07 | Steps: 127 | Epsilon: 0.010
Game: 0295/500 | Score: 14 | Steps: 239 | Epsilon: 0.010
Game: 0296/500 | Score: 05 | Steps: 110 | Epsilon: 0.010
Game: 0297/500 | Score: 20 | Steps: 234 | Epsilon: 0.010
Game: 0298/500 | Score: 12 | Steps: 154 | Epsilon: 0.010
Game: 0299/500 | Score: 06 | Steps: 141 | Epsilon: 0.010
Game: 0300/500 | Score: 04 | Steps: 062 | Epsilon: 0.010
Game: 0301/500 | Score: 13 | Steps: 133 | Epsilon: 0.010
Game: 0302/500 | Score: 05 | Steps: 064 | Epsilon: 0.010
Game: 0303/500 | Score: 08 | Steps: 088 | Epsilon: 0.010
Game: 0304/500 | Score: 11 | Steps: 201 | Epsilon: 0.010
Game: 0305/500 | Score: 08 | Steps: 201 | Epsilon: 0.010
Game: 0306/500 | Score: 06 | Steps: 105 | Epsilon: 0.010
Game: 0307/500 | Score: 00 | Steps: 011 | Epsilon: 0.010
Game: 0308/500 | Score: 17 | Steps: 226 | Epsilon: 0.010
Game: 0309/500 | Score: 04 | Steps: 065 | Epsilon: 0.010
Game: 0310/500 | Score: 01 | Steps: 044 | Epsilon: 0.010
Game: 0311/500 | Score: 14 | Steps: 333 | Epsilon: 0.010
Game: 0312/500 | Score: 15 | Steps: 177 | Epsilon: 0.010
Game: 0313/500 | Score: 04 | Steps: 142 | Epsilon: 0.010
Game: 0314/500 | Score: 14 | Steps: 226 | Epsilon: 0.010
Game: 0315/500 | Score: 10 | Steps: 251 | Epsilon: 0.010
Game: 0316/500 | Score: 10 | Steps: 189 | Epsilon: 0.010
Game: 0317/500 | Score: 21 | Steps: 270 | Epsilon: 0.010
Game: 0318/500 | Score: 20 | Steps: 325 | Epsilon: 0.010
Game: 0319/500 | Score: 11 | Steps: 160 | Epsilon: 0.010
Game: 0320/500 | Score: 19 | Steps: 189 | Epsilon: 0.010
Game: 0321/500 | Score: 25 | Steps: 268 | Epsilon: 0.010
Game: 0322/500 | Score: 08 | Steps: 176 | Epsilon: 0.010
Game: 0323/500 | Score: 36 | Steps: 564 | Epsilon: 0.010
Game: 0324/500 | Score: 00 | Steps: 004 | Epsilon: 0.010
Game: 0325/500 | Score: 28 | Steps: 379 | Epsilon: 0.010
Game: 0326/500 | Score: 02 | Steps: 048 | Epsilon: 0.010
Game: 0327/500 | Score: 01 | Steps: 023 | Epsilon: 0.010
Game: 0328/500 | Score: 29 | Steps: 733 | Epsilon: 0.010
Game: 0329/500 | Score: 14 | Steps: 220 | Epsilon: 0.010
Game: 0330/500 | Score: 00 | Steps: 016 | Epsilon: 0.010
